Date,Close
2025-01-02,91.38
2025-01-03,91.4
2025-01-06,90.74
2025-01-07,92.25
2025-01-08,92.66
2025-01-10,90.17
2025-01-13,90.83
2025-01-14,91.99
2025-01-15,93.62
2025-01-16,96.1
2025-01-17,95.51
2025-01-21,94.88
2025-01-22,93.21
2025-01-23,93.02
2025-01-24,92.76
2025-01-27,96.52
2025-01-28,95.21
2025-01-29,93.82
2025-01-30,94.58
2025-01-31,93.07
2025-02-03,93.1
2025-02-04,92.77
2025-02-05,93.06
2025-02-06,93.88
2025-02-07,93.5
2025-02-10,91.46
2025-02-11,89.6
2025-02-12,88.26
2025-02-13,90.16
2025-02-14,88.2
2025-02-18,88.33
2025-02-19,88.69
2025-02-20,89.05
2025-02-21,88.13
2025-02-24,89.55
2025-02-25,90.35
2025-02-26,89.57
2025-02-27,92.1
2025-02-28,92.91
2025-03-03,92.98
2025-03-04,91.87
2025-03-05,91.35
2025-03-06,91.38
2025-03-07,91.0
2025-03-10,90.72
2025-03-11,90.09
2025-03-12,89.16
2025-03-13,90.41
2025-03-14,92.57
2025-03-17,95.28
2025-03-18,93.3
2025-03-19,93.19
2025-03-20,92.45
2025-03-21,91.98
2025-03-24,94.01
2025-03-25,94.58
2025-03-26,95.93
2025-03-27,96.94
2025-03-28,95.06
2025-03-31,96.18
2025-04-01,96.14
2025-04-02,96.82
2025-04-03,96.28
2025-04-04,87.83
2025-04-07,84.99
2025-04-08,86.42
2025-04-09,91.48
2025-04-10,90.58
2025-04-11,92.13
2025-04-14,92.87
2025-04-15,92.46
2025-04-16,92.38
2025-04-17,92.57
2025-04-21,89.79
2025-04-22,92.95
2025-04-23,92.51
2025-04-24,92.1
2025-04-25,90.68
2025-04-28,91.19
2025-04-29,92.39
2025-04-30,90.68
2025-05-01,89.67
2025-05-02,92.48
2025-05-05,92.58
2025-05-06,93.0
2025-05-07,92.69
2025-05-08,94.56
2025-05-09,94.54
2025-05-12,94.63
2025-05-13,93.42
2025-05-14,90.85
2025-05-15,93.54
2025-05-16,94.59
2025-05-19,95.16
2025-05-20,94.19
2025-05-21,92.85
2025-05-22,91.97
2025-05-23,92.07
2025-05-27,94.62
2025-05-28,92.98
2025-05-29,94.2
2025-05-30,95.04
2025-06-02,96.27
2025-06-03,95.82
2025-06-04,94.75
2025-06-05,94.57
2025-06-06,95.53
2025-06-09,92.35
2025-06-10,89.77
2025-06-11,89.39
2025-06-12,91.91
2025-06-13,90.99
2025-06-16,91.14
2025-06-17,90.15
2025-06-18,90.3
2025-06-20,90.17
2025-06-23,91.11
2025-06-24,90.97
2025-06-25,89.23
2025-06-26,90.29
2025-06-27,90.32
2025-06-30,91.05
2025-07-01,91.5
2025-07-02,88.38
2025-07-03,89.19
2025-07-07,89.42
2025-07-08,90.21
2025-07-09,87.92
2025-07-10,88.56
2025-07-11,87.84
2025-07-14,90.59
2025-07-15,88.19
2025-07-16,89.07
2025-07-17,88.66
2025-07-18,88.35
2025-07-21,87.55
2025-07-22,89.0
2025-07-23,88.62
2025-07-24,88.0
2025-07-25,88.89
2025-07-28,86.5
2025-07-29,86.12
2025-07-30,85.61
2025-07-31,86.06
2025-08-01,88.0
2025-08-04,88.51
2025-08-05,88.66
2025-08-06,89.76
2025-08-07,88.86
2025-08-08,88.83
2025-08-11,89.88
2025-08-12,87.78
2025-08-13,89.95
2025-08-14,91.46
2025-08-15,90.72
2025-08-18,90.35
2025-08-19,91.84
2025-08-20,92.84
2025-08-21,93.54
2025-08-22,93.41
2025-08-25,91.88
2025-08-26,90.9
2025-08-27,91.71
2025-08-28,91.2
2025-08-29,91.53
2025-09-02,91.32
2025-09-03,92.9
2025-09-04,92.22
2025-09-05,91.29
2025-09-08,90.9
2025-09-09,89.61
2025-09-10,90.6
2025-09-11,92.29
2025-09-12,92.26
2025-09-15,89.86
2025-09-16,87.38
