Date,Close
2025-01-02,199.56
2025-01-03,177.16
2025-01-06,188.85
2025-01-07,198.35
2025-01-08,197.0
2025-01-10,193.06
2025-01-13,194.51
2025-01-14,195.19
2025-01-15,214.04
2025-01-16,231.92
2025-01-17,230.49
2025-01-21,232.32
2025-01-22,234.05
2025-01-23,243.12
2025-01-24,240.47
2025-01-27,242.15
2025-01-28,244.85
2025-01-29,245.46
2025-01-30,243.94
2025-01-31,247.48
2025-02-03,251.63
2025-02-04,257.65
2025-02-05,255.98
2025-02-06,263.17
2025-02-07,264.07
2025-02-10,267.81
2025-02-11,271.15
2025-02-12,267.93
2025-02-13,272.4
2025-02-14,285.33
2025-02-18,284.53
2025-02-19,281.82
2025-02-20,247.72
2025-02-21,223.3
2025-02-24,215.65
2025-02-25,221.68
2025-02-26,232.63
2025-02-27,223.21
2025-02-28,233.1
2025-03-03,219.45
2025-03-04,215.09
2025-03-05,215.89
2025-03-06,186.85
2025-03-07,188.47
2025-03-10,171.61
2025-03-11,172.22
2025-03-12,179.29
2025-03-13,166.67
2025-03-14,181.18
2025-03-17,186.5
2025-03-18,166.52
2025-03-19,176.09
2025-03-20,185.42
2025-03-21,190.95
2025-03-24,213.63
2025-03-25,221.66
2025-03-26,204.87
2025-03-27,203.95
2025-03-28,204.41
2025-03-31,209.08
2025-04-01,212.59
2025-04-02,226.32
2025-04-03,181.79
2025-04-04,162.57
2025-04-07,167.87
2025-04-08,176.32
2025-04-09,220.44
2025-04-10,203.66
2025-04-11,206.2
2025-04-14,204.73
2025-04-15,213.81
2025-04-16,209.3
2025-04-17,211.41
2025-04-21,195.83
2025-04-22,211.95
2025-04-23,220.94
2025-04-24,235.02
2025-04-25,237.15
2025-04-28,241.53
2025-04-29,243.59
2025-04-30,244.35
2025-05-01,251.87
2025-05-02,257.1
2025-05-05,259.57
2025-05-06,258.81
2025-05-07,259.17
2025-05-08,285.53
2025-05-09,268.12
2025-05-12,279.62
2025-05-13,293.06
2025-05-14,305.52
2025-05-15,297.4
2025-05-16,299.89
2025-05-19,305.21
2025-05-20,302.29
2025-05-21,292.09
2025-05-22,302.25
2025-05-23,304.11
2025-05-27,312.91
2025-05-28,320.31
2025-05-29,319.65
2025-05-30,327.16
2025-06-02,331.44
2025-06-03,340.12
2025-06-04,345.64
2025-06-05,343.3
2025-06-06,341.46
2025-06-09,339.91
2025-06-10,338.5
2025-06-11,340.32
2025-06-12,318.95
2025-06-13,297.03
2025-06-16,290.05
2025-06-17,293.98
2025-06-18,307.91
2025-06-20,319.89
2025-06-23,320.08
2025-06-24,322.97
2025-06-25,315.76
2025-06-26,306.48
2025-06-27,319.26
2025-06-30,336.96
2025-07-01,338.26
2025-07-02,343.39
2025-07-03,348.33
2025-07-07,357.32
2025-07-08,345.92
2025-07-09,351.09
2025-07-10,345.55
2025-07-11,343.67
2025-07-14,347.34
2025-07-15,348.41
2025-07-16,352.02
2025-07-17,346.1
2025-07-18,347.52
2025-07-21,341.92
2025-07-22,341.56
2025-07-23,343.0
2025-07-24,326.09
2025-07-25,332.12
2025-07-28,336.33
2025-07-29,336.5
2025-07-30,333.59
2025-07-31,390.17
2025-08-01,367.78
2025-08-04,360.66
2025-08-05,350.74
2025-08-06,354.89
2025-08-07,357.75
2025-08-08,347.56
2025-08-11,345.25
2025-08-12,345.11
2025-08-13,349.87
2025-08-14,342.59
2025-08-15,349.99
2025-08-18,359.51
2025-08-19,344.24
2025-08-20,338.61
2025-08-21,339.07
2025-08-22,357.81
2025-08-25,362.12
2025-08-26,372.2
2025-08-27,367.35
2025-08-28,377.38
2025-08-29,371.92
2025-09-02,366.39
2025-09-03,362.32
2025-09-04,370.17
2025-09-05,368.88
2025-09-08,372.21
2025-09-09,375.0
2025-09-10,365.12
2025-09-11,354.24
2025-09-12,361.77
2025-09-15,365.35
2025-09-16,364.59
2025-09-17,378.06
2025-09-18,378.16
2025-09-19,391.89
2025-09-22,390.85
2025-09-23,378.1
2025-09-24,374.81
2025-09-25,371.38
2025-09-26,369.29
2025-09-29,392.66
2025-09-30,377.24
2025-10-01,395.41
2025-10-02,394.71
2025-10-03,375.72
2025-10-06,369.6
2025-10-07,370.31
2025-10-08,360.91
2025-10-09,360.03
